=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.21 19:42:21 =~=~=~=~=~=~=~=~=~=~=~=
Connected: F1:2C:71:91:F4:9D (random)
[SUBSCRIBED]
311252977 296774 264718 
311252977 296581 264357 
311252977 297094 264941 
311252977 296974 264689 
311252977 296788 264524 
311252977 296614 264382 
311252977 296629 264340 
311252977 296557 264247 
311252977 296587 264314 
311252977 296485 264160 
311252977 296405 264121 
311252977 296444 264150 
311252977 296513 264129 
311252977 296498 264272 
311252977 296396 264155 
311252977 296400 264109 
311252977 296400 264106 
311252977 296415 264227 
311252977 296394 264162 
311252977 296417 264144 
311252977 296307 264024 
311252977 296245 264000 
311252977 296235 264045 
311252977 296266 263969 
311252977 296329 264118 
311252977 296191 264028 
311252977 296209 263985 
311252977 296171 263915 
311252977 296129 263875 
311252977 296100 263842 
311252977 296015 263750 
311252977 296130 263822 
311252977 296008 263830 
311252977 296044 263849 
311252977 296187 263846 
311252977 296083 263873 
311252977 296053 263771 
311252977 296124 263836 
311252977 296044 263755 
311252977 295987 263709 
311252977 296000 263736 
311252977 296027 263715 
311252977 295985 263676 
311252977 295974 263739 
311252977 295931 263677 
311252977 295909 263637 
311252977 295794 263546 
311252977 295793 263479 
311252977 295878 263559 
311252977 295765 263396 
311252977 295764 263418 
311252977 295788 263376 
311252977 295720 263419 
311252977 295762 263410 
311252977 295704 263396 
311252977 295715 263354 
311252977 295687 263332 
311252977 295648 263343 
311252977 295703 263353 
311252977 295666 263275 
311252977 295678 263287 
311252977 295627 263282 
311252977 295574 263299 
311252977 295638 263257 
311252977 295592 263331 
311252977 295632 263317 
311252977 295624 263300 
311252977 295570 263279 
311252977 295582 263341 
311252977 295448 263125 
311252977 295546 263301 
311252977 295517 263320 
311252977 295467 263236 
311252977 295494 263280 
311252977 295544 263392 
311252977 295591 263440 
311252977 295577 263419 
311252977 295519 263375 
311252977 295399 263322 
311252977 295407 263354 
311252977 295471 263321 
311252977 295372 263295 
311252977 295729 263741 
311252977 295779 263867 
311252977 295775 263856 
311252977 295513 263597 
311252977 295224 263348 
311252977 295191 263304 
311252977 295225 263232 
311252977 295103 263095 
311252977 295091 263078 
311252977 295074 263101 
311252977 295023 263015 
311252977 294985 262958 
311252977 294993 263027 
311252977 294987 263022 
311252977 294998 263004 
311252977 294978 262999 
311252977 295000 263067 
311252977 294994 263066 
311252977 295085 263205 
311252977 295029 263127 
311252977 295225 263448 
311252977 295144 263294 
311252977 295110 263213 
311252977 295096 263200 
311252977 295080 263131 
311252977 295091 263099 
311252977 295024 263014 
311252977 294985 262961 
311252977 294941 262899 
311252977 294910 262901 
311252977 294911 262863 
311252977 294869 262864 
311252977 294834 262793 
311252977 294830 262810 
311252977 294798 262780 
311252977 294797 262806 
311252977 294796 262788 
311252977 294816 262733 
311252977 294854 262764 
311252977 294780 262848 
311252977 294832 262780 
311252977 294809 262702 
311252977 294833 262694 
311252977 294733 262650 
311252977 294749 262621 
311252977 294709 262572 
